title,category,date,keys
優格姐姐產後「把訂製服改大3吋」：不需要變回去！　解決6年心魔,影劇,2023/08/13 21:36,心魔 改大 需要 解決 姐姐
《夫婦的世界》開頭就演「29禁」床戲！才播2集收視衝上10%,影劇,2020/03/29 19:36,床戲 收視 開頭 ！ 世界
Gail從日本回國「已自主隔離5天」！　曝近況照報平安：我很好請放心,影劇,2020/02/26 22:27,放心 自主 回國 ！　 我
周興哲聽梁靜茹演出險落淚　認了情變趙岱新「會呼吸的痛」,影劇,2020/12/26 21:28,演出 趙岱新 認了 落淚 情變
「尚氣」劉思慕被梁朝偉電眼迷倒！成為父子：太不可思議,影劇,2021/08/31 19:41,尚氣 梁朝偉 劉思慕 成為 不可思議
孟耿如穿李洋球衣「敬佩到五體投地」　黃子佼謝土地銀行：週一去開戶,影劇,2021/07/31 21:53,五體投地 李洋 土地 黃子 週一
雷／金秀賢二遇徐睿知噴血！《精神病》結尾震撼彈：我來見妳的,影劇,2020/06/20 23:15,金秀賢 精神病 結尾 徐睿知 震撼彈
「史上最強萬聖節女王」又有新作！名模海蒂克隆與10人呈現人形孔雀,影劇,2023/11/01 20:30,名模 海蒂克隆 史 女王 人形
睽違5年沒活動…KARA有無機會重組？　許齡智鬆口：成員都很想合體,影劇,2021/12/15 23:54,許齡智 有無 成員 鬆口 合體
橘瑪麗無預警現身「台AV片場」！　親自示範「大尺度動作」全場震驚,影劇,2023/05/03 21:30,片場 示範 ！　 現身 動作
日男星疑輕生亡！才剛承諾後輩「當演唱會嘉賓」　只剩2週卻失約,影劇,2022/05/14 18:56,！ 生亡 嘉賓 失約 承諾
IG百萬女神撞臉「3大咖女星」！　辣照「領口開岔到褲頭」東西半球蹦出,影劇,2020/09/14 23:05,咖女星 女神 蹦出 領口 半球
温貞菱被范少勳「深入挖喉」！天蠍座卯起來狂挖東西全吐出,影劇,2021/12/26 18:57,天蠍座 東西 吐出 深入 挖喉
櫻桃幫成員和家人搭上太魯閣號列車　樂團主唱老公回應了,影劇,2021/04/03 19:42,列車 老公 成員 太魯閣號 主唱
說好娶我！前女友穿白紗現身婚禮「爆哭剃頭」　家屬嚇壞報警,影劇,2023/04/28 23:17,白紗 女友 報警 剃頭 現身
周湯豪唱一半又被切歌！　「債主」直接衝上台：你怎麼敢開演唱會,影劇,2022/11/20 18:23,切歌 債主 ！ 衝上 直接
柯佳嬿晉升暢銷作家　《再見 少女》罕曝愛情觀：有時候只想叫他去死！,影劇,2021/04/27 21:40,愛情觀 有時候 少女 作家 再見
蔡阿嘎、蔡桃貴擺「聖筊」狂慶麟洋奪金　嗨爆喊：太猛啦！,影劇,2021/07/31 22:10,蔡阿嘎 蔡桃貴 ！ 麟洋 聖筊
館長被近距離開3槍活命！　曝「上天留一命」原因：沒人像我一樣,影劇,2020/09/14 20:53,館長 一樣 上天 原因 ！
鳳梨親開「286萬阿法」跑外送！飲料店未營業就排隊…平日人潮超狂,影劇,2022/02/21 19:54,阿法 ！ 286萬 人潮 平日
《刻在》原創編劇還原「抄襲事件始末」　曝業界風氣：滿常發生,影劇,2021/08/30 21:34,風氣 還原 原創 發生 事件
二伯生完1年還在孕吐！　求醫檢查「竟是生病」：嚴重恐成胃癌,影劇,2022/05/25 21:22,生病 生完 二伯 成 胃癌
出門如上戰場！梁赫群出妙招「拿生活用品防病毒」　為老婆小孩採買,影劇,2021/06/12 18:27,出妙招 戰場 生活 出門 老婆
劉思慕拍完《尚氣》曬「基情照」　網笑：這部何時上映,影劇,2021/06/12 20:32,尚氣 劉思慕 《 上映 部
WINNER姜昇潤加盟《VOICE 4》！ 　角色設定曝光興奮喊：非常榮幸,影劇,2021/04/27 21:50,榮幸 加盟 ！ 設定 非常
「激似金卡達夏」情色網紅整形驟逝！享年34歲　家屬上網悲籌喪葬費,影劇,2023/04/28 19:40,金卡達夏 享年 上網 家屬 網紅
金針菇掀「外籍網紅行銷手法」論戰！　娘娘「吐真言」被讚爆：中肯,影劇,2021/11/05 23:33,金針菇 中肯 外籍 行銷 真言
聯電崩跌43%！趙正平「加碼套更牢」崩潰　一張圖網驚：濃濃韭菜味,影劇,2022/06/24 23:49,加碼套 趙正平 聯電 濃濃 崩跌
阿乃嘆「不想在感情裡當個媽」爆分手孫安佐　孫鵬昔日不喊「媳婦」原因曝光,影劇,2023/05/03 20:46,阿乃 曝光 孫安佐 感情 孫鵬
河正宇新片狂嗑鎮定劑　人生第一次挑戰「自爆最可怕瞬間」　,影劇,2020/02/19 22:01,瞬間 鎮定劑 狂嗑 挑戰 可怕
阿本遇黑心店家　夜市貨「謊稱手工價格開3倍」無奈：被當盤子,影劇,2023/08/21 22:19,無奈 阿本 盤子 黑心 店家
蕭敬騰「完整求婚影片」曝光！　下跪噴淚熱吻經紀人：要用一生愛妳,影劇,2023/06/27 20:52,曝光 愛 ！ 熱吻 求婚
天網揪5自主健康管理者　五月天公司開唱前發聲：繼續守護這機會,影劇,2021/01/01 17:48,天網 五月天 公司 自主 健康
周興哲鬆口生重病「失聲」...絕望：以為一輩子都無法唱歌！,影劇,2020/01/07 23:44,唱歌 鬆口生 一輩子 無法 ！
認愛首PO文！　王淨「男友視角照連發」甜炸7萬網：謝謝小曹,影劇,2023/02/23 22:27,認愛 王淨 小曹 男友 ！
「南部弄假牙～」哏十年了！FTISLAND李洪基：很奇怪，不懂為啥紅,影劇,2023/08/13 20:14,李洪基 南部 不 假牙 奇怪
玖壹壹健志IG突開砲！　曝女友「最美化妝師」Mia私下真實面,影劇,2022/05/14 18:08,真實面 女友 ！ 開砲 私下
安聖日硬起來反擊！「告全代表毀損名譽」稱：只給FIFTY FIFTY中立建議,影劇,2023/11/01 20:47,安聖日 代表 中立 名譽 ！
楊麗音演失智症母親　澎湖感動跨年「800粉齊拋彩帶」,影劇,2021/01/01 18:43,失智症 楊麗音 跨年 粉齊 澎湖
老菸槍雙人組「清空IG」暫停更新！　曝下一步動向：會想念你們 ,影劇,2020/02/26 21:29,清空 雙人組 暫停 想念 動向
《魔戒》接班作！「奇幻史詩大片」爛番茄飆96%新鮮度,影劇,2021/08/12 20:29,史詩 新鮮度 《 魔戒 番茄
林韋君爆熱戀張勛傑回應了！　「知道被跟拍」認：還在彼此了解,影劇,2021/12/15 20:22,林韋君 知道 張勛傑 ！ 跟拍
阿圓辣穿低胸爆乳裝遊泰國　拍照「突遭壯男強行摟住」嚇壞,影劇,2023/02/14 22:08,阿圓 泰國 強行 壯男 低胸
趙婷《游牧人生》奪奧斯卡被封！　陸官媒總編開酸：不認識的導演,影劇,2021/04/27 23:22,不 導演 陸官 趙婷 認識
《驕女》仁芯爆「人格障礙」復仇！　網分兩派支持：是姊姊先背叛,影劇,2020/09/14 21:17,仁芯爆 驕女 人格 姊姊 支持
柯震東29歲還是處男！國小就哈她　徐若瑄宣示主權：你靈魂是我的,影劇,2021/04/27 21:16,柯震東 主權 處男 靈魂 還是
《逐星女》「野貓」盼有隱形能力　最想合作神力女超人,影劇,2021/08/31 20:43,逐星女 野貓 能力 神力 《
參加活動驚有人確診！BrightWin「全面停工14天」泰娛樂圈陷崩潰,影劇,2021/04/06 19:16,全面 參加 ！ 確診 活動
張齡予撞名新娘「有好消息瞞不住」　預告：會盡快結婚,影劇,2021/12/26 18:40,張齡 瞞不住 撞名 預告 結婚
Kim逗兒子玩「額頭吸出紫色瘀傷」　崩潰求助：我後天要拍廣告！,影劇,2022/09/06 21:44,吸出 額頭 紫色 瘀傷 求助
P.O確定加盟《柔美的細胞小將2》！　入伍前最後作品「角色曝光」,影劇,2021/12/02 23:58,曝光 柔美 最後 小將 加盟
《聲林3》淘汰選手復活賽　團體賽三戰隊成員曝光,影劇,2022/01/21 21:15,聲林 曝光 《 成員 選手
女同志導演旅行遭「手語性騷」　自身經歷躍上大銀幕,影劇,2021/06/12 22:42,旅行 同志 銀幕 自身 經歷
《變身少女露比》李沐復合台大學霸男友！　羞認：現在還有熱戀感,影劇,2023/06/27 20:22,李沐 少女 露比 男友 台大
BewhY與旗下歌手「節目講粗話、態度差勁」惹議！　反省道歉竟又被罵爆,影劇,2021/01/16 19:51,歌手 旗下 節目 道歉 ！
